
AK-1>>>Nick Begich>>>R>>>125195>>>Mary Peltola>>>D>>>114918>>>71
CO-1>>>Diana DeGette>>>D>>>256320>>>Valdamar Archuleta>>>R>>>71992>>>84
CO-2>>>Joe Neguse>>>D>>>277984>>>Marshall Dawson>>>R>>>117619>>>89
CO-3>>>Jeff Hurd>>>R>>>194044>>>Adam Frisch>>>D>>>178263>>>94
CO-4>>>Lauren Boebert>>>R>>>234471>>>Trisha Calvarese>>>D>>>184402>>>99
CO-5>>>Jeff Crank>>>R>>>197238>>>River Gassen>>>D>>>147114>>>96
CO-6>>>Jason Crow>>>D>>>193743>>>John Fabbricatore>>>R>>>126560>>>86
CO-7>>>Brittany Pettersen>>>D>>>234191>>>Sergei Matveyuk>>>R>>>174050>>>92
CO-8>>>Gabe Evans>>>R>>>161992>>>Yadira Caraveo>>>D>>>159406>>>97
CT-1>>>John Larson>>>D>>>204687>>>Jim Griffin>>>R>>>110533>>>92
CT-2>>>Joe Courtney>>>D>>>219076>>>Mike France>>>R>>>158521>>>99
CT-3>>>Rosa DeLauro>>>D>>>197047>>>Michael Massey>>>R>>>137985>>>95
CT-4>>>Jim Himes>>>D>>>200601>>>Michael Goldstein>>>R>>>123033>>>95
CT-5>>>Jahana Hayes>>>D>>>177826>>>George Logan>>>R>>>155480>>>96
DE-1>>>Sarah McBride>>>D>>>287783>>>John Whalen>>>R>>>209567>>>99
FL-1>>>Matt Gaetz>>>R>>>274023>>>Gay Valimont>>>D>>>140881>>>95
FL-2>>>Neal Dunn>>>R>>>247849>>>Yen Bailey>>>D>>>154597>>>95
FL-3>>>Kat Cammack>>>R>>>241154>>>Tom Wells>>>D>>>150252>>>96
FL-4>>>Aaron Bean>>>R>>>222278>>>LaShonda Holloway>>>D>>>165830>>>95
FL-5>>>John Rutherford>>>R>>>267419>>>Jay McGovern>>>D>>>156472>>>97
FL-6>>>Michael Waltz>>>R>>>284274>>>James Stockton>>>D>>>152898>>>98
FL-7>>>Cory Mills>>>R>>>233895>>>Jennifer Adams>>>D>>>179831>>>93
FL-8>>>Mike Haridopolos>>>R>>>280312>>>Sandy Kennedy>>>D>>>170024>>>94
FL-9>>>Darren Soto>>>D>>>178724>>>Thomas Chalifoux>>>R>>>138049>>>92
FL-10>>>Maxwell Frost>>>D>>>181414>>>Willie Montague>>>R>>>109446>>>85
FL-11>>>Daniel Webster>>>R>>>269247>>>Barbie Harden Hall>>>D>>>176660>>>99
FL-12>>>Gus Bilirakis>>>R>>>306465>>>Rock Aboujaoude>>>D>>>124918>>>98
FL-13>>>Anna Paulina Luna>>>R>>>225402>>>Whitney Fox>>>D>>>185644>>>90
FL-14>>>Kathy Castor>>>D>>>199371>>>Rocky Rochford>>>R>>>145626>>>87
FL-15>>>Laurel Lee>>>R>>>195314>>>Pat Kemp>>>D>>>152310>>>91
FL-16>>>Vern Buchanan>>>R>>>247470>>>Jan Schneider>>>D>>>168559>>>97
FL-17>>>Greg Steube>>>R>>>291450>>>Manny Lopez>>>D>>>164686>>>99
FL-18>>>Scott Franklin>>>R>>>225131>>>Andrea Kale>>>D>>>119592>>>96
FL-19>>>Byron Donalds>>>R>>>275675>>>Kari Lerner>>>D>>>139962>>>93
FL-20>>>Sheila Cherfilus-McCormick>>>D>>>0>>>undefined>>>undefined>>>undefined>>>0
FL-21>>>Brian Mast>>>R>>>277286>>>Thomas Witkop>>>D>>>171143>>>97
FL-22>>>Lois Frankel>>>D>>>201486>>>Dan Franzese>>>R>>>165182>>>91
FL-23>>>Jared Moskowitz>>>D>>>196176>>>Joe Kaufman>>>R>>>177935>>>88
FL-24>>>Frederica Wilson>>>D>>>194440>>>Jesus Navarro>>>R>>>90470>>>84
FL-25>>>Debbie Wasserman Schultz>>>D>>>186822>>>Chris Eddy>>>R>>>156152>>>87
FL-26>>>Mario Diaz-Balart>>>R>>>217174>>>Joey Atkins>>>D>>>89013>>>93
FL-27>>>Maria Elvira Salazar>>>R>>>199134>>>Lucia Baez-Geller>>>D>>>130655>>>89
FL-28>>>Carlos Giménez>>>R>>>210044>>>Phil Ehr>>>D>>>115248>>>92
GA-1>>>Buddy Carter>>>R>>>220487>>>Patti Hewitt>>>D>>>135166>>>97
GA-2>>>Sanford Bishop>>>D>>>175841>>>Wayne Johnson>>>R>>>136428>>>91
GA-3>>>Brian Jack>>>R>>>272927>>>Maura Keller>>>D>>>138652>>>99
GA-4>>>Hank Johnson>>>D>>>228980>>>Eugene Yu>>>R>>>73971>>>89
GA-5>>>Nikema Williams>>>D>>>293958>>>John Salvesen>>>R>>>49124>>>92
GA-6>>>Lucy McBath>>>D>>>276663>>>Jeff Criswell>>>R>>>93793>>>93
GA-7>>>Rich McCormick>>>R>>>322245>>>Bob Christian>>>D>>>148018>>>99
GA-8>>>Austin Scott>>>R>>>231405>>>Darrius Butler>>>D>>>104265>>>93
GA-9>>>Andrew Clyde>>>R>>>270917>>>Tambrei Cash>>>D>>>121592>>>99
GA-10>>>Mike Collins>>>R>>>256342>>>Lexy Doherty>>>D>>>150194>>>99
GA-11>>>Barry Loudermilk>>>R>>>269532>>>Katy Stamper>>>D>>>130691>>>95
GA-12>>>Rick Allen>>>R>>>202614>>>Elizabeth Johnson>>>D>>>138001>>>93
GA-13>>>David Scott>>>D>>>256754>>>Jonathan Chavez>>>R>>>100659>>>92
GA-14>>>Marjorie Taylor Greene>>>R>>>243219>>>Shawn Harris>>>D>>>134489>>>99
HI-1>>>Ed Case>>>D>>>163921>>>Patrick Largey>>>R>>>64226>>>82
HI-2>>>Jill Tokuda>>>D>>>165881>>>Steve Bond>>>R>>>75282>>>84
IA-1>>>Mariannette Miller-Meeks>>>R>>>206680>>>Christina Bohannan>>>D>>>205884>>>99
IA-2>>>Ashley Hinson>>>R>>>233195>>>Sarah Corkery>>>D>>>169580>>>97
IA-3>>>Zach Nunn>>>R>>>213625>>>Lanon Baccam>>>D>>>197777>>>99
IA-4>>>Randy Feenstra>>>R>>>250460>>>Ryan Melton>>>D>>>122025>>>94
ID-1>>>Russ Fulcher>>>R>>>331150>>>Kaylee Peterson>>>D>>>118656>>>99
ID-2>>>Mike Simpson>>>R>>>249664>>>David Roth>>>D>>>126033>>>97
IL-1>>>Jonathan Jackson>>>D>>>195715>>>Marcus Lewis>>>R>>>105891>>>83
IL-2>>>Robin Kelly>>>D>>>186942>>>Ashley Ramos>>>R>>>92840>>>84
IL-3>>>Delia Ramirez>>>D>>>160120>>>John Booras>>>R>>>82713>>>82
IL-4>>>Jesús "Chuy" García>>>D>>>139968>>>Lupe Castillo>>>R>>>67530>>>98
IL-5>>>Mike Quigley>>>D>>>219852>>>Tommy Hanson>>>R>>>106904>>>82
IL-6>>>Sean Casten>>>D>>>188000>>>Niki Conforti>>>R>>>162595>>>89
IL-7>>>Danny Davis>>>D>>>201209>>>Chad Koppie>>>R>>>41859>>>76
IL-8>>>Raja Krishnamoorthi>>>D>>>165129>>>Mark Rice>>>R>>>127816>>>89
IL-9>>>Janice Schakowsky>>>D>>>237348>>>Seth Cohen>>>R>>>139009>>>99
IL-10>>>Brad Schneider>>>D>>>184010>>>Jim Carris>>>R>>>126509>>>88
IL-11>>>Bill Foster>>>D>>>195488>>>Jerry Evans>>>R>>>157595>>>94
IL-12>>>Mike Bost>>>R>>>269343>>>Brian Roberts>>>D>>>92099>>>95
IL-13>>>Nikki Budzinski>>>D>>>181552>>>Joshua Loyd>>>R>>>133871>>>89
IL-14>>>Lauren Underwood>>>D>>>176400>>>James Marter>>>R>>>150089>>>94
IL-15>>>Mary Miller>>>R>>>305135>>>undefined>>>undefined>>>undefined>>>97
IL-16>>>Darin LaHood>>>R>>>301913>>>undefined>>>undefined>>>undefined>>>95
IL-17>>>Eric Sorensen>>>D>>>167639>>>Joe McGraw>>>R>>>141393>>>92
IN-1>>>Frank Mrvan>>>D>>>172118>>>Randy Niemeyer>>>R>>>144886>>>94
IN-2>>>Rudy Yakym>>>R>>>163872>>>Lori Camp>>>D>>>89784>>>84
IN-3>>>Marlin Stutzman>>>R>>>202610>>>Kiley Adolph>>>D>>>97846>>>95
IN-4>>>Jim Baird>>>R>>>221783>>>Derrick Holder>>>D>>>103519>>>98
IN-5>>>Victoria Spartz>>>R>>>202549>>>Deborah Pickett>>>D>>>136180>>>97
IN-6>>>Jefferson Shreve>>>R>>>200494>>>Cinde Wirth>>>D>>>99361>>>95
IN-7>>>André Carson>>>D>>>185733>>>John Schmitz>>>R>>>78707>>>89
IN-8>>>Mark Messmer>>>R>>>219843>>>Erik Hurt>>>D>>>95219>>>94
IN-9>>>Erin Houchin>>>R>>>220576>>>Tim Peck>>>D>>>111901>>>96
KS-1>>>Tracey Mann>>>R>>>195236>>>Paul Buskirk>>>D>>>88219>>>87
KS-2>>>Derek Schmidt>>>R>>>169384>>>Nancy Boyda>>>D>>>113546>>>92
KS-3>>>Sharice Davids>>>D>>>206010>>>Prasanth Reddy>>>R>>>164639>>>96
KS-4>>>Ron Estes>>>R>>>193065>>>Esau Freeman>>>D>>>103088>>>91
KY-1>>>James Comer>>>R>>>252534>>>Erin Marshall>>>D>>>85496>>>96
KY-2>>>Brett Guthrie>>>R>>>252826>>>Hank Linderman>>>D>>>93029>>>98
KY-3>>>Morgan McGarvey>>>D>>>203100>>>Mike Craven>>>R>>>124713>>>89
KY-4>>>Thomas Massie>>>R>>>279696>>>undefined>>>undefined>>>undefined>>>93
KY-5>>>Hal Rogers>>>R>>>263057>>>undefined>>>undefined>>>undefined>>>99
KY-6>>>Andy Barr>>>R>>>220675>>>Randy Cravens>>>D>>>127672>>>96
LA-1>>>Steve Scalise>>>R>>>238803>>>Mel Manuel>>>D>>>85880>>>97
LA-2>>>Troy Carter>>>D>>>183897>>>Christy Lynch>>>R>>>41635>>>95
LA-3>>>Clay Higgins>>>R>>>226264>>>Priscilla Gonzalez>>>D>>>59826>>>98
LA-4>>>Mike Johnson>>>R>>>262794>>>Joshua Morott>>>R>>>43422>>>90
LA-5>>>Julia Letlow>>>R>>>200990>>>Michael Vallien>>>D>>>82900>>>97
LA-6>>>Cleo Fields>>>D>>>150312>>>Elbert Guillory>>>R>>>111733>>>94
MA-1>>>Richard Neal>>>D>>>154749>>>Nadia Milleron>>>I>>>88842>>>69
MA-2>>>Jim McGovern>>>D>>>188331>>>Cornelius Shea>>>I>>>87837>>>87
MA-3>>>Lori Trahan>>>D>>>145448>>>undefined>>>undefined>>>undefined>>>51
MA-4>>>Jake Auchincloss>>>D>>>209377>>>undefined>>>undefined>>>undefined>>>65
MA-5>>>Katherine Clark>>>D>>>196620>>>undefined>>>undefined>>>undefined>>>62
MA-6>>>Seth Moulton>>>D>>>252706>>>undefined>>>undefined>>>undefined>>>72
MA-7>>>Ayanna Pressley>>>D>>>208272>>>undefined>>>undefined>>>undefined>>>84
MA-8>>>Stephen Lynch>>>D>>>220977>>>Rob Burke>>>R>>>95936>>>76
MA-9>>>Bill Keating>>>D>>>168330>>>Dan Sullivan>>>R>>>125058>>>65
MD-1>>>Andy Harris>>>R>>>236373>>>Blane Miller>>>D>>>143090>>>95
MD-2>>>Johnny Olszewski>>>D>>>201507>>>Kim Klacik>>>R>>>144175>>>88
MD-3>>>Sarah Elfreth>>>D>>>221973>>>Robert Steinberger>>>R>>>144975>>>90
MD-4>>>Glenn Ivey>>>D>>>201463>>>George McDermott>>>R>>>26174>>>75
MD-5>>>Steny Hoyer>>>D>>>252779>>>Michelle Talkington>>>R>>>126625>>>90
MD-6>>>April McClain Delaney>>>D>>>182891>>>Neil Parrott>>>R>>>168220>>>94
MD-7>>>Kweisi Mfume>>>D>>>200085>>>Scott Collier>>>R>>>45378>>>81
MD-8>>>Jamie Raskin>>>D>>>238525>>>Cheryl Riley>>>R>>>67640>>>78
ME-1>>>Chellie Pingree>>>D>>>229027>>>Ronald Russell>>>R>>>142828>>>91
ME-2>>>Jared Golden>>>D>>>196189>>>Austin Theriault>>>R>>>194030>>>99
MI-1>>>Jack Bergman>>>R>>>279127>>>Callie Barr>>>D>>>179050>>>99
MI-2>>>John Moolenaar>>>R>>>278533>>>Michael Lynch>>>D>>>135654>>>99
MI-3>>>Hillary Scholten>>>D>>>224932>>>Paul Hudson>>>R>>>183135>>>98
MI-4>>>Bill Huizenga>>>R>>>236200>>>Jessica Swartz>>>D>>>185977>>>99
MI-5>>>Tim Walberg>>>R>>>268777>>>Libbi Urban>>>D>>>133936>>>98
MI-6>>>Debbie Dingell>>>D>>>280889>>>Heather Smiley>>>R>>>158581>>>97
MI-7>>>Tom Barrett>>>R>>>226694>>>Curtis Hertel>>>D>>>209842>>>98
MI-8>>>Kristen McDonald Rivet>>>D>>>217390>>>Paul Junge>>>R>>>189239>>>96
MI-9>>>Lisa McClain>>>R>>>311163>>>Clint St. Mosley>>>D>>>137701>>>98
MI-10>>>John James>>>R>>>217440>>>Carl Marlinga>>>D>>>191352>>>96
MI-11>>>Haley Stevens>>>D>>>260489>>>Nick Somberg>>>R>>>177286>>>94
MI-12>>>Rashida Tlaib>>>D>>>253188>>>James Hooper>>>R>>>92437>>>91
MI-13>>>Shri Thanedar>>>D>>>220586>>>Martell Bivings>>>R>>>78888>>>90
MN-1>>>Brad Finstad>>>R>>>223232>>>Rachel Bohman>>>D>>>158916>>>99
MN-2>>>Angie Craig>>>D>>>231774>>>Joe Teirab>>>R>>>175611>>>99
MN-3>>>Kelly Morrison>>>D>>>240208>>>Tad Jude>>>R>>>170426>>>94
MN-4>>>Betty McCollum>>>D>>>242801>>>May Lor Xiong>>>R>>>117618>>>91
MN-5>>>Ilhan Omar>>>D>>>261061>>>Dalia Al-Aqidi>>>R>>>86210>>>88
MN-6>>>Tom Emmer>>>R>>>260097>>>Jeanne Hendricks>>>D>>>155836>>>99
MN-7>>>Michelle Fischbach>>>R>>>275104>>>AJ Peters>>>D>>>114993>>>99
MN-8>>>Pete Stauber>>>R>>>247541>>>Jen Schultz>>>D>>>176762>>>99
MO-1>>>Wesley Bell>>>D>>>231330>>>Andrew Jones>>>R>>>56009>>>86
MO-2>>>Ann Wagner>>>R>>>231954>>>Ray Hartmann>>>D>>>180660>>>99
MO-3>>>Bob Onder>>>R>>>240137>>>Bethany Mann>>>D>>>138106>>>97
MO-4>>>Mark Alford>>>R>>>259496>>>Jeanette Cass>>>D>>>96310>>>99
MO-5>>>Emanuel Cleaver>>>D>>>198292>>>Sean Smith>>>R>>>120350>>>93
MO-6>>>Sam Graves>>>R>>>264801>>>Pam May>>>D>>>100724>>>99
MO-7>>>Eric Burlison>>>R>>>254965>>>Missi Hesketh>>>D>>>93903>>>99
MO-8>>>Jason Smith>>>R>>>271491>>>Randi McCallian>>>D>>>77459>>>99
MS-1>>>Trent Kelly>>>R>>>216854>>>Dianne Black>>>D>>>93774>>>94
MS-2>>>Bennie Thompson>>>D>>>158354>>>Ron Eller>>>R>>>100195>>>78
MS-3>>>Michael Guest>>>R>>>10247>>>undefined>>>undefined>>>undefined>>>4
MS-4>>>Mike Ezell>>>R>>>187783>>>Craig Raybon>>>D>>>65539>>>85
MT-1>>>Ryan Zinke>>>R>>>162542>>>Monica Tranel>>>D>>>138286>>>97
MT-2>>>Troy Downing>>>R>>>176591>>>John Driscoll>>>D>>>94834>>>94
NC-1>>>Don Davis>>>D>>>184993>>>Laurie Buckhout>>>R>>>179167>>>91
NC-2>>>Deborah Ross>>>D>>>265386>>>Alan Swain>>>R>>>126852>>>92
NC-3>>>Greg Murphy>>>R>>>245964>>>Gheorghe Cormos>>>L>>>71394>>>91
NC-4>>>Valerie Foushee>>>D>>>305116>>>Eric Blankenburg>>>R>>>111140>>>98
NC-5>>>Virginia Foxx>>>R>>>237292>>>Chuck Hubbard>>>D>>>161348>>>94
NC-6>>>Addison McDowell>>>R>>>231894>>>Kevin Hayes>>>CS>>>103053>>>99
NC-7>>>David Rouzer>>>R>>>251640>>>Marlando Pridgen>>>D>>>176917>>>97
NC-8>>>Mark Harris>>>R>>>237405>>>Justin Dues>>>D>>>160708>>>94
NC-9>>>Richard Hudson>>>R>>>208775>>>Nigel Bristow>>>D>>>139357>>>92
NC-10>>>Pat Harrigan>>>R>>>231425>>>Ralph Scott>>>D>>>152401>>>95
NC-11>>>Chuck Edwards>>>R>>>244146>>>Caleb Rudow>>>D>>>186057>>>94
NC-12>>>Alma Adams>>>D>>>258491>>>Addul Ali>>>R>>>90866>>>94
NC-13>>>Brad Knott>>>R>>>242208>>>Frank Pierce>>>D>>>170161>>>99
NC-14>>>Tim Moore>>>R>>>232029>>>Pam Genant>>>D>>>167425>>>95
ND-1>>>Julie Fedorchak>>>R>>>248572>>>Trygve Hammer>>>D>>>108974>>>99
NE-1>>>Mike Flood>>>R>>>184252>>>Carol Blood>>>D>>>121523>>>99
NE-2>>>Don Bacon>>>R>>>157246>>>Tony Vargas>>>D>>>150096>>>98
NE-3>>>Adrian Smith>>>R>>>242008>>>Daniel Ebers>>>D>>>58856>>>91
NH-1>>>Chris Pappas>>>D>>>218431>>>Russell Prescott>>>R>>>185813>>>99
NH-2>>>Maggie Goodlander>>>D>>>211733>>>Lily Tang Williams>>>R>>>188807>>>99
NJ-1>>>Donald Norcross>>>D>>>198345>>>Teddy Liddell>>>R>>>138315>>>87
NJ-2>>>Jeff Van Drew>>>R>>>211321>>>Joe Salerno>>>D>>>148121>>>90
NJ-3>>>Herb Conaway>>>D>>>191181>>>Rajesh Mohan>>>R>>>162465>>>83
NJ-4>>>Chris Smith>>>R>>>260534>>>Matthew Jenkins>>>D>>>121958>>>94
NJ-5>>>Josh Gottheimer>>>D>>>201523>>>Mary Jo Guinchard>>>R>>>161410>>>87
NJ-6>>>Frank Pallone>>>D>>>159884>>>Scott Fegler>>>R>>>116763>>>83
NJ-7>>>Thomas Kean Jr.>>>R>>>216626>>>Sue Altman>>>D>>>189585>>>90
NJ-8>>>Rob Menendez>>>D>>>111294>>>Anthony Valdes>>>R>>>65043>>>77
NJ-9>>>Nellie Pou>>>D>>>123946>>>Billy Prempeh>>>R>>>113056>>>98
NJ-10>>>LaMonica McIver>>>D>>>173923>>>Carmen Bucco>>>R>>>52597>>>83
NJ-11>>>Mikie Sherrill>>>D>>>212789>>>Joseph Belnome>>>R>>>159700>>>88
NJ-12>>>Bonnie Watson Coleman>>>D>>>180272>>>Darius Mayfield>>>R>>>110330>>>85
NM-1>>>Melanie Stansbury>>>D>>>192521>>>Steve Jones>>>R>>>148959>>>98
NM-2>>>Gabriel Vasquez>>>D>>>137574>>>Yvette Herrell>>>R>>>126822>>>99
NM-3>>>Teresa Leger Fernandez>>>D>>>160926>>>Sharon Clahchischilliage>>>R>>>125902>>>99
NV-1>>>Dina Titus>>>D>>>164909>>>Mark Robertson>>>R>>>141050>>>93
NV-2>>>Mark Amodei>>>R>>>209013>>>Greg Kidd>>>ND>>>135153>>>91
NV-3>>>Susie Lee>>>D>>>187605>>>Drew Johnson>>>R>>>177031>>>99
NV-4>>>Steven Horsford>>>D>>>171775>>>John Lee>>>R>>>145096>>>99
NY-1>>>Nicholas LaLota>>>R>>>217461>>>John Avlon>>>D>>>172700>>>92
NY-2>>>Andrew Garbarino>>>R>>>197419>>>Rob Lubin>>>D>>>130636>>>91
NY-3>>>Thomas Suozzi>>>D>>>185184>>>Mike LiPetri>>>R>>>167825>>>90
NY-4>>>Laura Gillen>>>D>>>186148>>>Anthony D'Esposito>>>R>>>178655>>>94
NY-5>>>Gregory Meeks>>>D>>>157225>>>Paul King>>>R>>>58380>>>83
NY-6>>>Grace Meng>>>D>>>111592>>>Thomas Zmich>>>R>>>70566>>>82
NY-7>>>Nydia Velazquez>>>D>>>158015>>>Bill Kregler>>>R>>>45243>>>83
NY-8>>>Hakeem Jeffries>>>D>>>155866>>>John Delaney>>>R>>>52216>>>81
NY-9>>>Yvette Clarke>>>D>>>160481>>>Menachem Raitport>>>R>>>56614>>>82
NY-10>>>Dan Goldman>>>D>>>186991>>>Alexander Dodenhoff>>>R>>>34577>>>99
NY-11>>>Nicole Malliotakis>>>R>>>160908>>>Andrea Morse>>>D>>>87640>>>85
NY-12>>>Jerrold Nadler>>>D>>>235856>>>Michael Zumbluskas>>>R>>>57403>>>99
NY-13>>>Adriano Espaillat>>>D>>>164402>>>Ruben Dario Vargas>>>R>>>32316>>>91
NY-14>>>Alexandria Ocasio-Cortez>>>D>>>123269>>>Tina Forte>>>R>>>55580>>>79
NY-15>>>Ritchie Torres>>>D>>>121318>>>Gonzalo Duran>>>R>>>33405>>>75
NY-16>>>George Latimer>>>D>>>210200>>>Miriam Flisser>>>R>>>83555>>>90
NY-17>>>Mike Lawler>>>R>>>192111>>>Mondaire Jones>>>D>>>167329>>>95
NY-18>>>Pat Ryan>>>D>>>196904>>>Alison Esposito>>>R>>>149896>>>97
NY-19>>>Josh Riley>>>D>>>181726>>>Marc Molinaro>>>R>>>177739>>>95
